"Browser","Developer","Layout engine","Platform","Version","Date","License","Cost (USD)"
"SRWare Iron","SRWare","Blink","Windows","131.0.6650.1[73]","2022-04-29","Proprietary","No cost"
"surf","suckless.org","WebKit","BSD","2.1[74]","2021-05-08","MIT","No cost"
"surf","suckless.org","WebKit","Linux","2.1[74]","2021-05-08","MIT","No cost"
"surf","suckless.org","WebKit","Unix","2.1[74]","2021-05-08","MIT","No cost"
"surf","suckless.org","WebKit","Windows","2.1[74]","2021-05-08","MIT","No cost"
"Torch Browser (discontinued)","Torch Media","Blink","macOS","69.2.0.1713[75]","2020-09-30","Proprietary","No cost"
"Torch Browser (discontinued)","Torch Media","Blink","Windows","69.2.0.1713[75]","2020-09-30","Proprietary","No cost"
"Uzbl (discontinued)","Dieter Plaetinck","WebKit","Unix-like","0.9.1[76]","2016-10-27","GPL-3.0-only","No cost"
"Vivaldi","Vivaldi Technologies","Blink","Android","8.2 (4147.58)[77]","2026-09-10","Proprietary","No cost"
"Vivaldi","Vivaldi Technologies","Blink","Linux","8.2 (4133.52)[78]","2026-09-11","Proprietary","No cost"
"Vivaldi","Vivaldi Technologies","Blink","macOS","8.2 (4133.52)[78]","2026-09-11","Proprietary","No cost"
"Vivaldi","Vivaldi Technologies","Blink","Windows","8.2 (4133.52)[78]","2026-09-11","Proprietary","No cost"
"Waterfox","Alex Kontos","Gecko","Android","6.7.3[79]","2026-09-12","MPL-2.0","No cost"
"Waterfox","Alex Kontos","Gecko","Linux","6.7.3[79]","2026-09-12","MPL-2.0","No cost"
"Waterfox","Alex Kontos","Gecko","macOS","6.7.3[79]","2026-09-12","MPL-2.0","No cost"
"Waterfox","Alex Kontos","Gecko","Windows","6.7.3[79]","2026-09-12","MPL-2.0","No cost"
"WebPositive","Haiku","WebKit","Haiku","1.9.11[80]","2024-02-05","MIT","No cost"
"WorldWideWeb (Nexus) (discontinued)","Tim Berners-Lee","Custom","NeXTSTEP","0.17","1994","Public domain","No cost"
"w3m","Akinori Ito","Custom","BSD","0.5.6[81]","2026-01-23","MIT","No cost"
"w3m","Akinori Ito","Custom","Linux","0.5.6[81]","2026-01-23","MIT","No cost"
"w3m","Akinori Ito","Custom","macOS","0.5.6[81]","2026-01-23","MIT","No cost"
"w3m","Akinori Ito","Custom","Unix","0.5.6[81]","2026-01-23","MIT","No cost"
"w3m","Akinori Ito","Custom","Windows","0.5.6[81]","2026-01-23","MIT","No cost"
"Yandex Browser","Yandex","Blink","Android","","","Proprietary","No cost"
"Yandex Browser","Yandex","Blink","Linux","","","Proprietary","No cost"
"Yandex Browser","Yandex","Blink","iOS","23.9.1.439[82]","2023-09-08","Proprietary","No cost"
"Yandex Browser","Yandex","Blink","macOS","","","Proprietary","No cost"
"Yandex Browser","Yandex","Blink","Windows","","","Proprietary","No cost"
